incident_id,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
62f7b39d-1213-47c2-8118-88eb98908af7,Shell Fire,Y,2021-07-07T15:45:31Z,2021-06-27T13:07:06Z,Lead Agency: Kern County Fire,,Kern,Interstate 5 and Grapevine Rd,1984.0,100.0,,,-118.891,34.919,Wildfire,https://www.fire.ca.gov/incidents/2021/6/27/shell-fire/,2021-06-30T18:00:00Z,2021-06-30,2021-06-27,N,False,False,,,,,,,,,,0.0
289f036a-eb92-4ae2-9d1a-0356a259dfda,Highway Fire ,Y,2024-07-08T13:45:44Z,2024-07-04T16:09:02Z,,,Kern,I-5 near Traft Hwy,75.0,100.0,,,-119.2071,35.25322,Wildfire,https://www.fire.ca.gov/incidents/2024/7/4/highway-fire/,,,2024-07-04,N,False,False,,,,,,,,,,0.0
73083049-8bc2-4444-911b-f3d0812fb70c,Famoso Fire,Y,2016-07-16T07:40:00Z,2016-07-15T23:55:00Z,Kern County Fire,,Kern,"off Granite Rd & Famoso Rd, 15 miles east of Famoso",138.0,100.0,,Kern County Fire,-118.94811,35.60748,,https://www.fire.ca.gov/incidents/2016/7/15/famoso-fire/,2016-07-16T07:40:00Z,2016-07-16,2016-07-15,N,True,False,,,,,,29.2,0.0,28.0,30.8,1.6
c0a1383e-6793-4916-a4a9-9c338ca92638,Oil Fire,Y,2024-06-28T09:32:23Z,2024-06-11T15:15:00Z,Kern County Fire Department,,Kern,"East of Highway 65 and Lerdo Highway, North of Bakersfield",214.0,100.0,,,-119.071667,35.506667,Wildfire,https://www.fire.ca.gov/incidents/2024/6/11/oil-fire/,,,2024-06-11,N,False,False,,,,,,28.2,0.0,52.0,31.4,1.6
6f329208-5aa0-45fc-a4ec-db9caf865ca7,Refuge Fire,Y,2019-05-09T09:37:00Z,2019-05-07T15:47:00Z,Kern County Fire and the US Fish and Wildlife Service,,Kern,"off Twisselmen Road, in the Kern National Wildlife Refuge,15 miles west of Delano",2500.0,100.0,,Kern County Fire and the US Fish and Wildlife Service,-119.62762,35.72057,,https://www.fire.ca.gov/incidents/2019/5/7/refuge-fire/,2019-05-09T09:37:00Z,2019-05-09,2019-05-07,N,False,False,,,,,,17.0,0.0,58.0,22.3,4.1
140def53-175c-4f5d-b8e3-de0643781ff7,Deer Fire,Y,2016-07-08T19:00:00Z,2016-07-01T14:05:00Z,Kern County Fire,,Kern,"Hwy 223 & Deertrail Rd., east of Arvin",1785.0,100.0,,"Kern County Fire, Kern County Fire/OES, Kern County Sheriff, CHP, Bear Valley CSD, CalOES, CDCR, American Red Cross, Cal Edison, Tejon Ranch, CCC.",-118.72272,35.20993,,https://www.fire.ca.gov/incidents/2016/7/1/deer-fire/,2016-07-08T19:00:00Z,2016-07-08,2016-07-01,N,True,False,,,,,,29.2,0.0,33.0,,1.7
3093980c-b80f-4b7b-a040-d4fc868142ca,Wolves Fire,Y,2021-04-23T01:08:52Z,2021-04-23T00:34:19Z,Kern County Fire Department,,Kern,"Dead end of Goldcrest St, south west of Bakersfield",50.0,100.0,,Kern County Fire Department,-1191414610.0,34.9471195,Wildfire,https://www.fire.ca.gov/incidents/2021/4/23/wolves-fire/,,,2021-04-23,N,False,False,,,,,,9.3,2.0,37.0,9.6,2.2
fe112320-013f-434e-b66c-101234292711,Fort Fire,Y,2016-07-10T19:37:00Z,2016-07-08T11:15:00Z,Kern County Fire,,Kern,"off of I-5, east of Grapevine",554.0,100.0,,Kern County Fire,118.9082,34.913,,https://www.fire.ca.gov/incidents/2016/7/8/fort-fire/,2016-07-10T19:37:00Z,2016-07-10,2016-07-08,N,True,False,,,,,,14.1,23.1,77.0,17.4,1.9
f645bf93-57a3-4fdf-9544-d255f8311dc9,Hart Fire,Y,2016-08-07T20:15:00Z,2016-08-04T17:10:00Z,Kern County Fire,,Kern,"off Hwy 58 and Hart Flat Rd, Tehachapi ",100.0,100.0,,Kern County Fire,-118.60344,35.24504,,https://www.fire.ca.gov/incidents/2016/8/4/hart-fire/,2016-08-07T20:15:00Z,2016-08-07,2016-08-04,N,True,False,,,,,,,,,,0.0
b11adfe0-b74d-4321-b1bd-3fc0b8f0929b,Breckenridge Fire,Y,2018-01-09T10:29:00Z,2017-06-09T04:53:00Z,Kern County Fire Department,,Kern,"Breckenridge Rd and Comanche Dr., 5 miles east of Bakersfield ",35.0,100.0,,Kern County Fire Department,-118.84134,35.37351,,https://www.fire.ca.gov/incidents/2017/6/9/breckenridge-fire/,2018-01-09T10:29:00Z,2018-01-09,2017-06-09,N,True,False,,,,,,22.7,0.0,51.0,30.2,2.0
