incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
162 Fire,Y,2024-10-19T18:39:56Z,2024-10-19T13:04:01Z,,,Glenn,"Country Road Z at the cross of Highway 62, East of Butte",60.0,100.0,,,-121.965973,39.4643049,Wildfire,886f0cf7-2fb7-4625-8fd0-5ee36ff32a3c,https://www.fire.ca.gov/incidents/2024/10/19/162-fire/,2024-10-19T17:00:00Z,2024-10-19,2024-10-19,N,False,False,,,,,,18.3,0.0,34.0,18.4,1.7
Grizzly Fire,Y,2020-03-05T07:27:29Z,2020-03-02T14:08:05Z,CAL FIRE Tehama-Glenn Unit ,,Glenn,"Grizzly Flat Recreation Area, west of Orland",154.0,100.0,,,-122.384532,39.774968,Wildfire,405d5f3f-66c9-4b69-8660-82780fa582b5,https://www.fire.ca.gov/incidents/2020/3/2/grizzly-fire/,2020-03-05T07:26:00Z,2020-03-05,2020-03-02,N,True,False,,,,,,,,,,3.9
Open Fire,Y,2019-01-04T10:19:00Z,2018-06-01T15:20:00Z,Mendocino National Forest ,,Glenn,"Open Ridge, NW of Dry Creek Hill, 11 miles SW of Elk Creek",127.0,100.0,,Mendocino National Forest ,-122.65582,39.46543,,3db90629-694f-43d7-b46a-6378f6bc1472,https://www.fire.ca.gov/incidents/2018/6/1/open-fire/,2019-01-04T10:19:00Z,2019-01-04,2018-06-01,N,False,False,,,,,,,,,,2.0
Burrows Fire ,Y,2023-06-14T09:11:11Z,2022-06-28T13:09:03Z,CAL FIRE Tehama-Glenn Unit ,,Glenn,"County Rd 306 and County Rd 315, north of Elk Creek",317.0,100.0,,,-122.55002,39.713372,Wildfire,b3b6407b-cafa-4f42-bc9e-6e0e286717c4,https://www.fire.ca.gov/incidents/2022/6/28/burrows-fire/,,,2022-06-28,N,True,False,,,,,,,,,,2.5
Elk Fire,Y,2024-05-22T08:37:04Z,2024-05-21T15:38:53Z,,,Glenn,Unknown / TBD,19.0,100.0,,,-122.476758,39.598771,Wildfire,2578f6da-a787-4269-818d-c1616b35de18,https://www.fire.ca.gov/incidents/2024/5/21/elk-fire/,,,2024-05-21,N,True,False,,,,,,,,,,2.5
Creek Fire,Y,2018-01-09T12:02:00Z,2017-07-19T17:30:00Z,City of Orland Fire Department,,Glenn,"Stony Creek, Orland",0.0,100.0,,City of Orland Fire Department,-122.17657,39.75425,,47c9e99d-ad11-497f-8238-cfd815423262,https://www.fire.ca.gov/incidents/2017/7/19/creek-fire/,2018-01-09T12:02:00Z,2018-01-09,2017-07-19,N,False,False,,,,,,,,,,1.6
Thirty Five Fire,Y,2023-08-17T18:19:56Z,2023-08-17T12:36:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,"County Road 35 and County Road 33, west of Artois",109.0,100.0,,,-122.3287,39.6194,Wildfire,1c3481f5-3d33-40a2-8f24-5edbebc17d6c,https://www.fire.ca.gov/incidents/2023/8/17/thirty-five-fire/,2023-08-17T17:00:00Z,2023-08-17,2023-08-17,N,True,False,,,,,,,,,,1.7
Elk Fire,Y,2020-08-17T21:01:45Z,2020-08-16T10:14:46Z,CAL FIRE Tehama-Glenn Unit,,Glenn,west of Willows,727.0,100.0,,CAL FIRE Tehama-Glenn Unit,-122.427358,39.52452,Wildfire,119469ac-fe6b-4934-ac17-36a73cefe958,https://www.fire.ca.gov/incidents/2020/8/16/elk-fire/,2020-08-17T21:01:00Z,2020-08-17,2020-08-16,N,True,False,,,,,,,,,,1.3
Stony Fire,Y,2023-07-20T13:22:57Z,2023-07-18T14:48:00Z,CAL FIRE Tehama-Glenn Unit,,Glenn,"County Road 306 and Hwy 162, north of Elk Creek",89.0,100.0,,,-122.5259,39.6685,Wildfire,471a442e-3c6c-49d3-a1da-c6539336f975,https://www.fire.ca.gov/incidents/2023/7/18/stony-fire/,2023-07-20T08:00:00Z,2023-07-20,2023-07-18,N,True,False,,,,,,,,,,1.9
Orleans Complex,Y,2013-08-03T15:00:00Z,2013-08-03T08:00:00Z,Six Rivers National Forest,,Humboldt,"10 miles east of Somes Bar, California",0.0,100.0,,Six Rivers National Forest,-123.376,41.333,,7d4f107b-66a9-43d2-819d-ec855c2947bf,https://www.fire.ca.gov/incidents/2013/8/3/orleans-complex/,2013-08-03T15:00:00Z,2013-08-03,2013-08-03,N,False,False,,,,,,,,,,1.4
