incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg,DayAirTmpAvg,DayPrecip,DayRelHumAvg,DaySoilTmpAvg,DayWindSpdAvg
Archer Fire,Y,2025-01-11T08:41:30Z,2025-01-10T11:24:44Z,Los Angeles City Fire Department,,Los Angeles,"Sesnon Boulevard, North of Meadowlark Avenue, Granada Hills",19.0,100.0,,,-118.5111,34.3087,Wildfire,a93eab36-e8a3-4a4e-be4d-2372e3ba4957,https://www.fire.ca.gov/incidents/2025/1/10/archer-fire/,2025-01-10T08:41:10Z,2025-01-10,2025-01-10,N,False,False,,,,,,,,,,0.0
Forest Fire,Y,2024-06-11T09:18:36Z,2024-06-09T17:52:59Z,Los Angeles County Fire Department,,Los Angeles,"East Avenue, Llano",41.0,100.0,,,-117.785551,34.51346,Wildfire,0059b627-3b2c-4f13-865d-246af0e62ee9,https://www.fire.ca.gov/incidents/2024/6/9/forest-fire/,,,2024-06-09,N,False,False,,,,,,19.6,0.0,71.0,22.6,2.2
West Fire ,Y,2024-06-03T16:12:54Z,2019-08-13T14:37:54Z,CAL FIRE Los Angeles County Fire Department ,,Los Angeles,"off of 120th Street  West and Coppermill Road, Lancaster ",1575.0,100.0,,Los Angeles County Fire Department ,-118.254,34.91,Wildfire,eb975e90-a689-40fc-8f44-b13c774de0e8,https://www.fire.ca.gov/incidents/2019/8/13/west-fire/,,,2019-08-13,N,True,False,,,,,,,,,,0.0
La Tuna Fire,Y,2024-07-22T13:22:41Z,2024-07-19T17:39:12Z,Los Angeles County Fire Department,,Los Angeles,"210 Fwy near La Tuna Canyon Rd, South of Sunland-Tujunga",43.0,100.0,,,-118.30239,34.23514,Wildfire,edcab1ce-ee89-4005-b636-4ec33a32bd3f,https://www.fire.ca.gov/incidents/2024/7/19/la-tuna-fire/,,,2024-07-19,N,False,False,,,,,,,,,,0.0
Fork Fire,Y,2024-07-28T22:34:06Z,2024-07-19T15:23:05Z,Angeles National Forest,,Los Angeles,"East Fork Road & Glendora Mountain Road, Camp Williams",301.0,100.0,,,-117.76113,34.239686,Wildfire,d3a2cf16-c3b9-499d-a6c7-4b8875998bb9,https://www.fire.ca.gov/incidents/2024/7/19/fork-fire/,2024-07-28T22:33:39Z,2024-07-28,2024-07-19,N,False,False,,,,,,27.3,0.0,51.0,24.1,1.3
Colby Fire,Y,2014-01-27T10:00:00Z,2014-01-16T05:50:00Z,Angeles National Forest and LA County Fire Department,,Los Angeles,"near Morris Reservoir, north of Glendora",1952.0,100.0,,Angeles National Forest and LA County Fire Department,-117.8816,34.1703,,1fe0ea01-23e8-47a1-8fbd-ced6cf655e4d,https://www.fire.ca.gov/incidents/2014/1/16/colby-fire/,2014-01-27T10:00:00Z,2014-01-27,2014-01-16,N,False,False,,,,,,19.2,0.0,11.0,10.5,2.8
Five Fire,Y,2019-09-26T14:48:14Z,2019-08-03T17:01:15Z,Angeles National Forest,,Los Angeles,Off Interstate 5 & Templin Hwy,156.0,100.0,,Angeles National Forest,-118.752395,34.677864,Wildfire,ed5e111d-e34a-42c0-9ce7-818270037c2c,https://www.fire.ca.gov/incidents/2019/8/3/five-fire/,2019-08-05T12:25:00Z,2019-08-05,2019-08-03,N,False,False,,,,,,,,,,0.0
Deer Fire,Y,2024-07-20T22:13:53Z,2024-07-19T15:57:35Z,Los Angeles County Fire Department,,Los Angeles,"East Avenue Q & 35th Street East, East of Palmdale",272.0,100.0,,,-118.063529,34.5938959,Wildfire,d24167a5-911d-433a-a1ba-cef5dca6aeb0,https://www.fire.ca.gov/incidents/2024/7/19/deer-fire/,2024-07-20T22:10:48Z,2024-07-20,2024-07-19,N,False,False,,,,,,,,,,0.0
Minor Fire,Y,2024-07-15T09:27:28Z,2024-07-13T13:38:54Z,Los Angeles County Fire Department,,Los Angeles,"230th Street East & Avenue D4, Lancaster",50.0,100.0,,,-118.253976,34.67478,Wildfire,5c4423ff-da1b-4b58-a72b-1fbeb4522da9,https://www.fire.ca.gov/incidents/2024/7/13/minor-fire/,,,2024-07-13,N,False,False,,,,,,,,,,0.0
Poppy Fire,Y,2024-07-12T07:46:51Z,2024-07-10T14:30:50Z,Los Angeles County Fire Department,,Los Angeles,Canyon Country,87.0,100.0,,"L.A. County Fire Department, ",-118.3404,34.43725,Wildfire,095a04be-5c4f-46bc-a26d-afee87fe3013,https://www.fire.ca.gov/incidents/2024/7/10/poppy-fire/,,,2024-07-10,N,False,False,,,,,,,,,,0.0
Gabriel Fire,Y,2024-09-04T21:44:10Z,2024-09-02T16:58:23Z,Los Angeles County Fire Department,,Los Angeles,"Near Santa Fe Dam Nature Center, Irwindale",40.0,100.0,,,-117.953154,34.122607,Wildfire,0d339412-fd42-4037-94ba-6d1ce25ac3e9,https://www.fire.ca.gov/incidents/2024/9/2/gabriel-fire/,,,2024-09-02,N,False,False,,,,,,26.7,0.0,56.0,23.4,1.6
Madre Fire,Y,2013-09-28T08:00:00Z,2013-09-23T18:00:00Z,Angeles National Forest/Los Angeles County Fire,,Los Angeles,San Gabriel Canyon 1/4 mile west of the entrance station,268.0,100.0,,Angeles National Forest/Los Angeles County Fire,-117.908,34.149,,eb5a3f2a-0c25-417a-af78-bb0d643247c7,https://www.fire.ca.gov/incidents/2013/9/23/madre-fire/,2013-09-28T08:00:00Z,2013-09-28,2013-09-23,N,False,False,,,,,,23.2,0.0,32.0,20.6,1.4
Sunset Fire ,Y,2025-01-09T15:58:10Z,2025-01-08T17:57:36Z,Los Angeles Fire Department ,,Los Angeles,"2300 block Solar Dr, Hollywood Hills",43.0,100.0,,,-118.3536,34.1105,Wildfire,3b0d8af8-f3c9-4629-8735-641d9f6af3e7,https://www.fire.ca.gov/incidents/2025/1/8/sunset-fire/,,,2025-01-08,N,False,False,,,,,,,,,,0.0
Lidia Fire,Y,2025-01-11T07:41:52Z,2025-01-08T14:07:38Z,Unified Command: Angeles National Forest and Los Angeles County Fire Department,,Los Angeles,"5700 Block of Soledad Canyon Road, Acton",395.0,100.0,,,-118.2433,34.4408,Wildfire,83adc92b-bd6c-458a-a2b1-43b3ee2c27b3,https://www.fire.ca.gov/incidents/2025/1/8/lidia-fire/,2025-01-11T07:40:17Z,2025-01-11,2025-01-08,N,False,False,,,,,,,,,,0.0
