FeatureSet,Model,Accuracy,F1 Score,AUC
MinMaxQuantile+CumulativeLoad,Gradient Boosting,0.6766541822721598,0.6185567010309279,0.7512574850299402
MinMaxQuantile+CumulativeLoad,XGBoost,0.6791510611735331,0.6027820710973725,0.7749500998003993
MinMaxQuantile+SoilDrynessIndex,Logistic Regression,0.6853932584269663,0.6,0.7518429807052561
MinMaxQuantile+SoilDrynessIndex,Random Forest,0.6928838951310862,0.6306306306306306,0.7777178975382567
MinMaxQuantile+SoilDrynessIndex,Decision Tree,0.6392009987515606,0.5285481239804242,0.62395874916833
MinMaxQuantile+SoilDrynessIndex,Gradient Boosting,0.6704119850187266,0.6162790697674418,0.7524817032601464
MinMaxQuantile+SoilDrynessIndex,XGBoost,0.6903870162297129,0.6149068322981367,0.7799001996007984
TrendDiff+ExtremeFlags,Logistic Regression,0.6779026217228464,0.5981308411214953,0.7547504990019961
TrendDiff+ExtremeFlags,Random Forest,0.6903870162297129,0.6253776435045317,0.7715402528276779
TrendDiff+ExtremeFlags,Decision Tree,0.6454431960049938,0.5590062111801242,0.6381703260146373
TrendDiff+ExtremeFlags,Gradient Boosting,0.6679151061173533,0.6122448979591837,0.7531204258150367
TrendDiff+ExtremeFlags,XGBoost,0.6691635455680399,0.5852895148669797,0.7679374584165003
TrendDiff+InteractionFeatures,Logistic Regression,0.6716604244694132,0.5858267716535434,0.7526746506986027
TrendDiff+InteractionFeatures,Random Forest,0.6916354556803995,0.6229007633587786,0.7753260146373919
TrendDiff+InteractionFeatures,Decision Tree,0.6454431960049938,0.55625,0.6371556886227545
TrendDiff+InteractionFeatures,Gradient Boosting,0.6941323345817728,0.6412884333821376,0.7580771789753826
TrendDiff+InteractionFeatures,XGBoost,0.6916354556803995,0.6122448979591837,0.7730006653359947
TrendDiff+StdFeatures,Logistic Regression,0.6853932584269663,0.6012658227848101,0.7566666666666667
TrendDiff+StdFeatures,Random Forest,0.6928838951310862,0.6328358208955224,0.7800399201596807
TrendDiff+StdFeatures,Decision Tree,0.6691635455680399,0.5904173106646059,0.6634298070525615
TrendDiff+StdFeatures,Gradient Boosting,0.7066167290886392,0.6508172362555721,0.7729940119760479
TrendDiff+StdFeatures,XGBoost,0.7053682896379525,0.6300940438871473,0.790319361277445
TrendDiff+RatioFeatures,Logistic Regression,0.6766541822721598,0.5934065934065934,0.7514903526280773
TrendDiff+RatioFeatures,Random Forest,0.6928838951310862,0.6272727272727273,0.7692980705256154
TrendDiff+RatioFeatures,Decision Tree,0.6504369538077404,0.559748427672956,0.6415934797072522
TrendDiff+RatioFeatures,Gradient Boosting,0.6791510611735331,0.6259097525473072,0.7505921490352628
TrendDiff+RatioFeatures,XGBoost,0.6841448189762797,0.6053042121684867,0.7667332002661343
TrendDiff+CumulativeLoad,Logistic Regression,0.6779026217228464,0.589171974522293,0.7507917498336661
TrendDiff+CumulativeLoad,Random Forest,0.6928838951310862,0.6306306306306306,0.7718662674650698
TrendDiff+CumulativeLoad,Decision Tree,0.6579275905118602,0.573208722741433,0.6512475049900198
TrendDiff+CumulativeLoad,Gradient Boosting,0.6779026217228464,0.6194690265486725,0.7503260146373918
TrendDiff+CumulativeLoad,XGBoost,0.6903870162297129,0.6112852664576802,0.7682568196939454
TrendDiff+SoilDrynessIndex,Logistic Regression,0.6766541822721598,0.580226904376013,0.7497804391217564
TrendDiff+SoilDrynessIndex,Random Forest,0.6803995006242197,0.6132930513595166,0.7701097804391217
TrendDiff+SoilDrynessIndex,Decision Tree,0.6404494382022472,0.5596330275229358,0.6353692614770459
TrendDiff+SoilDrynessIndex,Gradient Boosting,0.6766541822721598,0.621897810218978,0.7602594810379242
TrendDiff+SoilDrynessIndex,XGBoost,0.6966292134831461,0.6161137440758294,0.7739188290086494
ExtremeFlags+InteractionFeatures,Logistic Regression,0.6729088639200999,0.5880503144654088,0.7516766467065867
ExtremeFlags+InteractionFeatures,Random Forest,0.6916354556803995,0.6307922272047832,0.7815502328675983
ExtremeFlags+InteractionFeatures,Decision Tree,0.6317103620474407,0.5412130637636081,0.6216034597471725
ExtremeFlags+InteractionFeatures,Gradient Boosting,0.6803995006242197,0.6289855072463768,0.7654091816367264
ExtremeFlags+InteractionFeatures,XGBoost,0.6779026217228464,0.5930599369085173,0.7509913506320692
ExtremeFlags+StdFeatures,Logistic Regression,0.6791510611735331,0.5927099841521395,0.7537658017298735
ExtremeFlags+StdFeatures,Random Forest,0.700374531835206,0.6428571428571429,0.7831170991350633
ExtremeFlags+StdFeatures,Decision Tree,0.6779026217228464,0.5878594249201278,0.6653725881570193
ExtremeFlags+StdFeatures,Gradient Boosting,0.686641697877653,0.6335766423357664,0.7668529607451763
ExtremeFlags+StdFeatures,XGBoost,0.6966292134831461,0.6301369863013698,0.7852761144377911
ExtremeFlags+RatioFeatures,Logistic Regression,0.6716604244694132,0.5871271585557299,0.7516367265469062
ExtremeFlags+RatioFeatures,Random Forest,0.6853932584269663,0.6146788990825688,0.7643646041250831
ExtremeFlags+RatioFeatures,Decision Tree,0.6416978776529338,0.5494505494505495,0.633253493013972
ExtremeFlags+RatioFeatures,Gradient Boosting,0.6791510611735331,0.6259097525473072,0.7486393878908849
ExtremeFlags+RatioFeatures,XGBoost,0.6853932584269663,0.6086956521739131,0.7676513639387891
ExtremeFlags+CumulativeLoad,Logistic Regression,0.6791510611735331,0.593996840442338,0.7504258150365934
ExtremeFlags+CumulativeLoad,Random Forest,0.6966292134831461,0.6312594840667678,0.7731902860944777
ExtremeFlags+CumulativeLoad,Decision Tree,0.6192259675405742,0.5196850393700787,0.6066234198270126
ExtremeFlags+CumulativeLoad,Gradient Boosting,0.6754057428214731,0.6176470588235294,0.7522954091816367
ExtremeFlags+CumulativeLoad,XGBoost,0.6916354556803995,0.6182380216383307,0.7787957418496341
ExtremeFlags+SoilDrynessIndex,Logistic Regression,0.6741573033707865,0.5783521809369951,0.7489221556886227
ExtremeFlags+SoilDrynessIndex,Random Forest,0.6941323345817728,0.6304675716440422,0.7788822355289422
ExtremeFlags+SoilDrynessIndex,Decision Tree,0.6566791510611736,0.5682888540031397,0.6458150365934796
ExtremeFlags+SoilDrynessIndex,Gradient Boosting,0.6803995006242197,0.627906976744186,0.7592149035262807
ExtremeFlags+SoilDrynessIndex,XGBoost,0.7028714107365793,0.6338461538461538,0.7783832335329341
InteractionFeatures+StdFeatures,Logistic Regression,0.6853932584269663,0.6025236593059937,0.7540718562874251
InteractionFeatures+StdFeatures,Random Forest,0.682896379525593,0.6253687315634219,0.785938123752495
InteractionFeatures+StdFeatures,Decision Tree,0.6579275905118602,0.5650793650793651,0.647641383898869
InteractionFeatures+StdFeatures,Gradient Boosting,0.6941323345817728,0.6454413892908828,0.7728542914171658
InteractionFeatures+StdFeatures,XGBoost,0.6878901373283396,0.6153846153846154,0.7815768463073851
InteractionFeatures+RatioFeatures,Logistic Regression,0.6779026217228464,0.5956112852664577,0.7508516300731869
InteractionFeatures+RatioFeatures,Random Forest,0.6878901373283396,0.6212121212121212,0.7788389886892881
InteractionFeatures+RatioFeatures,Decision Tree,0.6491885143570537,0.5489566613162119,0.633606121091151
InteractionFeatures+RatioFeatures,Gradient Boosting,0.686641697877653,0.6270430906389302,0.7537757817697938
InteractionFeatures+RatioFeatures,XGBoost,0.6754057428214731,0.5819935691318328,0.755482368596141
InteractionFeatures+CumulativeLoad,Logistic Regression,0.6729088639200999,0.5880503144654088,0.752874251497006
InteractionFeatures+CumulativeLoad,Random Forest,0.6928838951310862,0.6339285714285714,0.7828176979374584
InteractionFeatures+CumulativeLoad,Decision Tree,0.6367041198501873,0.529886914378029,0.6200399201596806
InteractionFeatures+CumulativeLoad,Gradient Boosting,0.6891385767790262,0.6300148588410104,0.7607850964737192
InteractionFeatures+CumulativeLoad,XGBoost,0.6891385767790262,0.6115444617784711,0.7759481037924152
InteractionFeatures+SoilDrynessIndex,Logistic Regression,0.6803995006242197,0.5884244372990354,0.7518363273453094
InteractionFeatures+SoilDrynessIndex,Random Forest,0.6991260923845194,0.638680659670165,0.7833333333333333
InteractionFeatures+SoilDrynessIndex,Decision Tree,0.6454431960049938,0.554858934169279,0.636583499667332
InteractionFeatures+SoilDrynessIndex,Gradient Boosting,0.686641697877653,0.6325036603221084,0.7659281437125749
InteractionFeatures+SoilDrynessIndex,XGBoost,0.6841448189762797,0.6053042121684867,0.7723419827012641
StdFeatures+RatioFeatures,Logistic Regression,0.6878901373283396,0.6056782334384858,0.7546506986027944
StdFeatures+RatioFeatures,Random Forest,0.6816479400749064,0.6165413533834586,0.7759614105123087
StdFeatures+RatioFeatures,Decision Tree,0.651685393258427,0.5564387917329093,0.6406054557551564
StdFeatures+RatioFeatures,Gradient Boosting,0.686641697877653,0.631424375917768,0.7664471057884232
StdFeatures+RatioFeatures,XGBoost,0.6878901373283396,0.6118012422360248,0.7811909514304723
StdFeatures+CumulativeLoad,Logistic Regression,0.686641697877653,0.6047244094488189,0.7531536926147704
StdFeatures+CumulativeLoad,Random Forest,0.6878901373283396,0.622356495468278,0.7797405189620759
StdFeatures+CumulativeLoad,Decision Tree,0.6666666666666666,0.586046511627907,0.6607185628742515
StdFeatures+CumulativeLoad,Gradient Boosting,0.6841448189762797,0.6284875183553598,0.7614437791084497
StdFeatures+CumulativeLoad,XGBoost,0.6916354556803995,0.6182380216383307,0.7783699268130406
StdFeatures+SoilDrynessIndex,Logistic Regression,0.6928838951310862,0.6107594936708861,0.7534397870924817
StdFeatures+SoilDrynessIndex,Random Forest,0.6953807740324595,0.6314199395770392,0.7889886892880904
StdFeatures+SoilDrynessIndex,Decision Tree,0.6591760299625468,0.5659777424483307,0.6471324018629409
StdFeatures+SoilDrynessIndex,Gradient Boosting,0.6941323345817728,0.6412884333821376,0.7636726546906187
StdFeatures+SoilDrynessIndex,XGBoost,0.7091136079900124,0.6365054602184087,0.7810179640718564
RatioFeatures+CumulativeLoad,Logistic Regression,0.6729088639200999,0.5880503144654088,0.7499467731204259
RatioFeatures+CumulativeLoad,Random Forest,0.6991260923845194,0.6397608370702541,0.7761510312707918
RatioFeatures+CumulativeLoad,Decision Tree,0.6254681647940075,0.5341614906832298,0.6181603459747173
RatioFeatures+CumulativeLoad,Gradient Boosting,0.6853932584269663,0.6294117647058823,0.7501064537591484
RatioFeatures+CumulativeLoad,XGBoost,0.6903870162297129,0.6184615384615385,0.7766733200266135
RatioFeatures+SoilDrynessIndex,Logistic Regression,0.6803995006242197,0.5884244372990354,0.7505921490352628
RatioFeatures+SoilDrynessIndex,Random Forest,0.6991260923845194,0.642962962962963,0.7731004657351963
RatioFeatures+SoilDrynessIndex,Decision Tree,0.6529338327091136,0.5530546623794212,0.6396174318030606
RatioFeatures+SoilDrynessIndex,Gradient Boosting,0.66541822721598,0.6047197640117994,0.7486626746506986
RatioFeatures+SoilDrynessIndex,XGBoost,0.682896379525593,0.6055900621118012,0.7766799733865603
CumulativeLoad+SoilDrynessIndex,Logistic Regression,0.6766541822721598,0.5842696629213483,0.7492880904856952
CumulativeLoad+SoilDrynessIndex,Random Forest,0.704119850187266,0.6488888888888888,0.780146373918829
CumulativeLoad+SoilDrynessIndex,Decision Tree,0.6466916354556804,0.5557299843014128,0.635319361277445
CumulativeLoad+SoilDrynessIndex,Gradient Boosting,0.6891385767790262,0.6343612334801763,0.7547571523619429
CumulativeLoad+SoilDrynessIndex,XGBoost,0.6716604244694132,0.5884194053208138,0.7652495009980039
MinMaxQuantile+TrendDiff+ExtremeFlags,Logistic Regression,0.6891385767790262,0.6078740157480315,0.7527877578176979
MinMaxQuantile+TrendDiff+ExtremeFlags,Random Forest,0.6891385767790262,0.6289120715350224,0.7769560878243513
MinMaxQuantile+TrendDiff+ExtremeFlags,Decision Tree,0.6591760299625468,0.5632,0.6465602129075183
MinMaxQuantile+TrendDiff+ExtremeFlags,Gradient Boosting,0.6791510611735331,0.620384047267356,0.756540252827678
MinMaxQuantile+TrendDiff+ExtremeFlags,XGBoost,0.7016229712858927,0.6259780907668232,0.7838456420492349
MinMaxQuantile+TrendDiff+InteractionFeatures,Logistic Regression,0.6803995006242197,0.5974842767295597,0.7530339321357286
MinMaxQuantile+TrendDiff+InteractionFeatures,Random Forest,0.6841448189762797,0.6240713224368499,0.7727145708582834
MinMaxQuantile+TrendDiff+InteractionFeatures,Decision Tree,0.6729088639200999,0.5880503144654088,0.6633832335329342
MinMaxQuantile+TrendDiff+InteractionFeatures,Gradient Boosting,0.6816479400749064,0.6255506607929515,0.7562608117099134
MinMaxQuantile+TrendDiff+InteractionFeatures,XGBoost,0.6903870162297129,0.610062893081761,0.7710179640718562
MinMaxQuantile+TrendDiff+StdFeatures,Logistic Regression,0.6803995006242197,0.5974842767295597,0.7542182302062541
MinMaxQuantile+TrendDiff+StdFeatures,Random Forest,0.686641697877653,0.623688155922039,0.7816799733865603
MinMaxQuantile+TrendDiff+StdFeatures,Decision Tree,0.6554307116104869,0.5714285714285714,0.6477345309381237
MinMaxQuantile+TrendDiff+StdFeatures,Gradient Boosting,0.686641697877653,0.6259314456035767,0.7623020625415836
MinMaxQuantile+TrendDiff+StdFeatures,XGBoost,0.6916354556803995,0.6251896813353566,0.7779906852960745
MinMaxQuantile+TrendDiff+RatioFeatures,Logistic Regression,0.6779026217228464,0.5981308411214953,0.7513772455089821
MinMaxQuantile+TrendDiff+RatioFeatures,Random Forest,0.7078651685393258,0.6538461538461539,0.7878443113772454
MinMaxQuantile+TrendDiff+RatioFeatures,Decision Tree,0.6441947565543071,0.5525902668759811,0.6331437125748504
MinMaxQuantile+TrendDiff+RatioFeatures,Gradient Boosting,0.6853932584269663,0.631578947368421,0.7615701929474384
MinMaxQuantile+TrendDiff+RatioFeatures,XGBoost,0.6941323345817728,0.6248085758039816,0.7766200931470393
MinMaxQuantile+TrendDiff+CumulativeLoad,Logistic Regression,0.6779026217228464,0.5943396226415094,0.7502262142381904
MinMaxQuantile+TrendDiff+CumulativeLoad,Random Forest,0.7078651685393258,0.6411042944785276,0.7724184963406521
MinMaxQuantile+TrendDiff+CumulativeLoad,Decision Tree,0.6566791510611736,0.5669291338582677,0.6456620093147039
MinMaxQuantile+TrendDiff+CumulativeLoad,Gradient Boosting,0.6878901373283396,0.6301775147928994,0.7623020625415834
MinMaxQuantile+TrendDiff+CumulativeLoad,XGBoost,0.6779026217228464,0.6030769230769231,0.770352628077179
MinMaxQuantile+TrendDiff+SoilDrynessIndex,Logistic Regression,0.6928838951310862,0.6107594936708861,0.7524950099800399
MinMaxQuantile+TrendDiff+SoilDrynessIndex,Random Forest,0.700374531835206,0.6374622356495468,0.7717165668662674
MinMaxQuantile+TrendDiff+SoilDrynessIndex,Decision Tree,0.6641697877652933,0.5696,0.6514204923486361
MinMaxQuantile+TrendDiff+SoilDrynessIndex,Gradient Boosting,0.6716604244694132,0.6068759342301944,0.7575249500998004
MinMaxQuantile+TrendDiff+SoilDrynessIndex,XGBoost,0.6716604244694132,0.5960061443932412,0.7620691949434466
MinMaxQuantile+ExtremeFlags+InteractionFeatures,Logistic Regression,0.6803995006242197,0.6,0.7538789088489687
MinMaxQuantile+ExtremeFlags+InteractionFeatures,Random Forest,0.7078651685393258,0.6497005988023952,0.7880272787757817
MinMaxQuantile+ExtremeFlags+InteractionFeatures,Decision Tree,0.6392009987515606,0.5491419656786272,0.6311909514304724
MinMaxQuantile+ExtremeFlags+InteractionFeatures,Gradient Boosting,0.6766541822721598,0.6185567010309279,0.7514304723885561
MinMaxQuantile+ExtremeFlags+InteractionFeatures,XGBoost,0.6816479400749064,0.595879556259905,0.7822022621423819
MinMaxQuantile+ExtremeFlags+StdFeatures,Logistic Regression,0.686641697877653,0.6047244094488189,0.7559813705921491
MinMaxQuantile+ExtremeFlags+StdFeatures,Random Forest,0.6853932584269663,0.6204819277108434,0.7768629407850965
MinMaxQuantile+ExtremeFlags+StdFeatures,Decision Tree,0.6666666666666666,0.5808477237048666,0.6578110445775117
MinMaxQuantile+ExtremeFlags+StdFeatures,Gradient Boosting,0.686641697877653,0.6335766423357664,0.754484364604125
MinMaxQuantile+ExtremeFlags+StdFeatures,XGBoost,0.686641697877653,0.6059654631083202,0.784777112441783
MinMaxQuantile+ExtremeFlags+RatioFeatures,Logistic Regression,0.682896379525593,0.6018808777429467,0.7527411842980706
MinMaxQuantile+ExtremeFlags+RatioFeatures,Random Forest,0.6891385767790262,0.6244343891402715,0.7713938789088489
MinMaxQuantile+ExtremeFlags+RatioFeatures,Decision Tree,0.6317103620474407,0.5368916797488226,0.6211310711909516
MinMaxQuantile+ExtremeFlags+RatioFeatures,Gradient Boosting,0.6816479400749064,0.6277372262773723,0.7503326679973387
MinMaxQuantile+ExtremeFlags+RatioFeatures,XGBoost,0.6704119850187266,0.5938461538461538,0.7668862275449102
MinMaxQuantile+ExtremeFlags+CumulativeLoad,Logistic Regression,0.6803995006242197,0.5962145110410094,0.7509048569527612
MinMaxQuantile+ExtremeFlags+CumulativeLoad,Random Forest,0.7078651685393258,0.6497005988023952,0.7888622754491018
MinMaxQuantile+ExtremeFlags+CumulativeLoad,Decision Tree,0.6429463171036205,0.5559006211180124,0.6366134397870925
MinMaxQuantile+ExtremeFlags+CumulativeLoad,Gradient Boosting,0.6766541822721598,0.6185567010309279,0.7508449767132402
MinMaxQuantile+ExtremeFlags+CumulativeLoad,XGBoost,0.6791510611735331,0.6027820710973725,0.7749500998003993
MinMaxQuantile+ExtremeFlags+SoilDrynessIndex,Logistic Regression,0.6841448189762797,0.5952,0.7519427811044579
MinMaxQuantile+ExtremeFlags+SoilDrynessIndex,Random Forest,0.6903870162297129,0.6331360946745562,0.7847870924817032
MinMaxQuantile+ExtremeFlags+SoilDrynessIndex,Decision Tree,0.6367041198501873,0.5402843601895735,0.6255788423153692
MinMaxQuantile+ExtremeFlags+SoilDrynessIndex,Gradient Boosting,0.6704119850187266,0.6162790697674418,0.7530139720558882
MinMaxQuantile+ExtremeFlags+SoilDrynessIndex,XGBoost,0.6903870162297129,0.6149068322981367,0.7799001996007984
MinMaxQuantile+InteractionFeatures+StdFeatures,Logistic Regression,0.6841448189762797,0.6040688575899843,0.7540585495675316
MinMaxQuantile+InteractionFeatures+StdFeatures,Random Forest,0.6903870162297129,0.6265060240963856,0.7871457085828344
MinMaxQuantile+InteractionFeatures+StdFeatures,Decision Tree,0.6816479400749064,0.5984251968503937,0.6732268795741849
MinMaxQuantile+InteractionFeatures+StdFeatures,Gradient Boosting,0.682896379525593,0.6297376093294461,0.7619161676646706
MinMaxQuantile+InteractionFeatures+StdFeatures,XGBoost,0.6953807740324595,0.6303030303030303,0.7781769793745841
MinMaxQuantile+InteractionFeatures+RatioFeatures,Logistic Regression,0.682896379525593,0.6043613707165109,0.7519960079840319
MinMaxQuantile+InteractionFeatures+RatioFeatures,Random Forest,0.6903870162297129,0.6331360946745562,0.7805788423153692
MinMaxQuantile+InteractionFeatures+RatioFeatures,Decision Tree,0.651685393258427,0.5633802816901409,0.6403293413173654
MinMaxQuantile+InteractionFeatures+RatioFeatures,Gradient Boosting,0.6766541822721598,0.6162962962962963,0.7523353293413174
MinMaxQuantile+InteractionFeatures+RatioFeatures,XGBoost,0.6803995006242197,0.6049382716049383,0.7590951430472389
MinMaxQuantile+InteractionFeatures+CumulativeLoad,Logistic Regression,0.6816479400749064,0.6009389671361502,0.7525815036593478
MinMaxQuantile+InteractionFeatures+CumulativeLoad,Random Forest,0.704119850187266,0.6457399103139013,0.7852628077178976
MinMaxQuantile+InteractionFeatures+CumulativeLoad,Decision Tree,0.6379525593008739,0.5411392405063291,0.6245941450432468
MinMaxQuantile+InteractionFeatures+CumulativeLoad,Gradient Boosting,0.6891385767790262,0.6354319180087847,0.7547305389221556
MinMaxQuantile+InteractionFeatures+CumulativeLoad,XGBoost,0.6841448189762797,0.6160849772382397,0.7717764471057884
MinMaxQuantile+InteractionFeatures+SoilDrynessIndex,Logistic Regression,0.6841448189762797,0.5990491283676703,0.751989354624085
MinMaxQuantile+InteractionFeatures+SoilDrynessIndex,Random Forest,0.6891385767790262,0.6198473282442748,0.7814138389886893
MinMaxQuantile+InteractionFeatures+SoilDrynessIndex,Decision Tree,0.6504369538077404,0.5527156549520766,0.6359514304723887
MinMaxQuantile+InteractionFeatures+SoilDrynessIndex,Gradient Boosting,0.6791510611735331,0.6259097525473072,0.7552095808383232
MinMaxQuantile+InteractionFeatures+SoilDrynessIndex,XGBoost,0.682896379525593,0.6080246913580247,0.7702661343978708
MinMaxQuantile+StdFeatures+RatioFeatures,Logistic Regression,0.6878901373283396,0.6118012422360248,0.7537524950099801
MinMaxQuantile+StdFeatures+RatioFeatures,Random Forest,0.6928838951310862,0.6350148367952523,0.7809580838323353
MinMaxQuantile+StdFeatures+RatioFeatures,Decision Tree,0.6329588014981273,0.5377358490566038,0.6233932135728544
MinMaxQuantile+StdFeatures+RatioFeatures,Gradient Boosting,0.6741573033707865,0.6200873362445415,0.7538123752495011
MinMaxQuantile+StdFeatures+RatioFeatures,XGBoost,0.6841448189762797,0.6137404580152672,0.7749367930805057
MinMaxQuantile+StdFeatures+CumulativeLoad,Logistic Regression,0.6853932584269663,0.6037735849056604,0.7523885562208915
MinMaxQuantile+StdFeatures+CumulativeLoad,Random Forest,0.6953807740324595,0.6369047619047619,0.7822188955422489
MinMaxQuantile+StdFeatures+CumulativeLoad,Decision Tree,0.66541822721598,0.5851393188854489,0.6591250831669994
